Datum;Wochentag;Startzeit;Endzeit;Pause;Std.
2026-06-05;Fr;6:42;14:22;0:30;7,17
2026-06-06;Sa;7:28;12:03;;4,58
2026-06-07;So;;;;
2026-06-08;Mo;6:42;13:12;0:30;6,00
2026-06-09;Di;6:44;14:22;0:30;7,13
2026-06-10;Mi;8:27;16:21;0:30;7,40
2026-06-11;Do;8:28;16:25;0:30;7,45
2026-06-12;Fr;8:30;16:26;0:30;7,43
2026-06-13;Sa;7:33;12:23;;4,83
2026-06-14;So;;;;
2026-06-15;Mo;7:31;15:25;0:30;7,40
2026-06-16;Di;8:41;14:20;;5,65
2026-06-17;Mi;7:29;15:25;0:30;7,43
2026-06-18;Do;7:41;13:26;;5,75
2026-06-19;Fr;7:57;15:25;0:30;6,97
2026-06-20;Sa;6:33;12:23;;5,83
2026-06-21;So;;;;
2026-06-22;Mo;6:44;14:21;0:30;7,12
2026-06-23;Di;6:40;15:17;0:30;8,12
2026-06-24;Mi;8:31;15:20;0:30;6,32
2026-06-25;Do;8:29;16:00;0:30;7,02
2026-06-26;Fr;8:30;14:21;;5,85
2026-06-27;Sa;7:29;13:24;;5,92
2026-06-28;So;;;;
2026-06-29;Mo;6:43;14:25;0:30;7,20
2026-06-30;Di;6:41;13:20;0:30;6,15
2026-07-01;Mi;8:30;15:24;0:30;6,40
2026-07-02;Do;7:30;13:26;;5,93
2026-07-03;Fr;6:42;13:17;0:30;6,08
2026-07-04;Sa;6:30;12:20;;5,83
2026-07-05;So;;;;
2026-07-06;Mo;6:43;15:21;0:30;8,13
2026-07-07;Di;6:54;14:24;0:30;7,00
2026-07-08;Mi;6:41;13:23;0:30;6,20
2026-07-09;Do;7:28;13:25;;5,95
2026-07-10;Fr;6:40;12:22;;5,70
2026-07-11;Sa;7:29;14:20;0:30;6,35
2026-07-12;So;;;;
2026-07-13;Mo;6:40;13:25;0:30;6,25
2026-07-14;Di;6:41;13:20;0:30;6,15
2026-07-15;Mi;6:40;13:22;0:30;6,20
2026-07-16;Do;6:41;15:24;0:30;8,22
2026-07-17;Fr;6:40;13:22;0:30;6,20
2026-07-18;Sa;6:32;11:25;;4,88
2026-07-19;So;;;;
2026-07-20;Mo;;;;
2026-07-21;Di;;;;
2026-07-22;Mi;;;;
2026-07-23;Do;;;;
2026-07-24;Fr;;;;
2026-07-25;Sa;;;;
2026-07-26;So;;;;
2026-07-27;Mo;;;;
2026-07-28;Di;;;;
2026-07-29;Mi;;;;
2026-07-30;Do;;;;
2026-07-31;Fr;;;;
2026-08-01;Sa;;;;
2026-08-02;So;;;;
2026-08-03;Mo;6:41;15:22;0:30;8,18
2026-08-04;Di;7:28;14:06;0:30;6,13
2026-08-05;Mi;7:28;14:25;0:30;6,45
2026-08-06;Do;7:35;14:24;0:30;6,32
2026-08-07;Fr;7:27;14:25;0:30;6,47
2026-08-08;Sa;6:30;12:28;;5,97
2026-08-09;So;;;;
2026-08-10;Mo;8:26;14:15;;5,82
2026-08-11;Di;6:40;13:25;0:30;6,25
2026-08-12;Mi;6:41;13:11;0:30;6,00
2026-08-13;Do;6:42;16:24;0:45;8,95
2026-08-14;Fr;;;;
2026-08-15;Sa;;;;
2026-08-16;So;;;;
2026-08-17;Mo;;;;
2026-08-18;Di;;;;
2026-08-19;Mi;;;;
2026-08-20;Do;;;;
2026-08-21;Fr;7:28;14:21;0:30;6,38
2026-08-22;Sa;6:15;12:25;0:30;5,67
2026-08-23;So;;;;
2026-08-24;Mo;5:48;11:14;;5,43
2026-08-25;Di;6:10;11:20;;5,17
2026-08-26;Mi;6:06;11:28;;5,37
2026-08-27;Do;6:53;15:23;0:30;8,00
2026-08-28;Fr;6:41;15:25;0:30;8,23
2026-08-29;Sa;6:30;12:24;;5,90
2026-08-30;So;;;;
2026-08-31;Mo;6:41;15:25;0:30;8,23
2026-09-01;Di;8:59;14:54;;5,92
2026-09-02;Mi;7:28;14:24;0:30;6,43
